item,model,observations,MAE,RMSE,MAPE,SMAPE
1,Random Forest,900,4.565997950236002,5.676134673288915,25.360110357376094,21.12154754743966
2,Random Forest,900,9.025179341634114,11.215465374930046,17.39748029895969,15.384285550834608
3,Random Forest,900,6.384549102783203,8.015751066841661,19.415800993485576,17.33995642240437
4,Random Forest,900,4.772979226642184,5.871395957603721,25.77393380185927,21.698898580963068
5,Random Forest,900,4.393442408243815,5.402196643074066,28.944454342462013,23.37788184119697
6,Random Forest,900,8.828866619533963,10.926309270698436,16.551270248968137,14.94627171159158
7,Random Forest,900,8.83218781789144,10.85911810801904,16.691587346146108,15.016168677222474
8,Random Forest,900,10.192464040120443,12.70204078692959,14.618778672689151,13.301380241746982
9,Random Forest,900,8.194462248484294,10.058273940668554,17.795935100708846,16.085920224784843
10,Random Forest,900,9.908117438422309,12.373276832149918,14.748828607034238,13.48059541679997
11,Random Forest,900,9.252317983839246,11.618116787382352,14.165645704104707,13.173923329436565
12,Random Forest,900,9.824227646721734,12.39611714099742,15.401839357309976,13.956350774662162
13,Random Forest,900,9.927394193013509,12.26055661848354,13.105903802234915,12.12192162427361
14,Random Forest,900,8.595658832126194,10.659179688884064,16.090134033739453,14.572007796788258
15,Random Forest,900,10.054104029337566,12.569362537969026,12.17279163375044,11.53800123826827
16,Random Forest,900,5.289673699273004,6.668269400564915,23.576725026813122,20.350368650430102
17,Random Forest,900,5.848731905619303,7.303794358628889,20.12578345605972,17.802229722622616
18,Random Forest,900,9.93059613969591,12.205281472300365,12.762018012079698,11.915039263781976
19,Random Forest,900,6.7468792279561365,8.295009791548521,18.382865831782407,16.5517115922737
20,Random Forest,900,7.429553748236762,9.309102702722145,17.314173945173675,15.515550105387769
21,Random Forest,900,6.657714504665798,8.413949112825202,19.247808684378498,16.77388214692918
22,Random Forest,900,10.010920952690972,12.420768306712873,14.061233013942362,12.786771473152506
23,Random Forest,900,5.736284425523546,7.071710308715752,22.582876566487194,19.53746948679177
24,Random Forest,900,9.43569997575548,11.772269578979898,15.838250229434268,14.34487685148394
25,Random Forest,900,10.117558284335667,12.583644115936554,14.01219898521894,12.812427655306413
26,Random Forest,900,7.713090773688422,9.51047452263885,17.900141952630918,16.10927396994248
27,Random Forest,900,4.59756523238288,5.624046951072136,25.528008504290927,21.259576125576984
28,Random Forest,900,10.204165111117893,12.551488321443575,12.594785996025903,11.833617830142739
29,Random Forest,900,9.728692224290636,12.20394168406779,15.485913726647746,14.027000133958065
30,Random Forest,900,6.947859641181098,8.58512351781461,19.710409120841934,17.220759491628236
31,Random Forest,900,8.853872583177354,10.960285537209643,16.9734407000685,15.13329687760403
32,Random Forest,900,7.507770856221517,9.237478354145466,19.13181169240729,16.96755618044449
33,Random Forest,900,9.823265702989366,12.302126772186973,15.918882065846857,14.262793566141674
34,Random Forest,900,5.089136264589098,6.371128499818177,22.878404206879672,19.55568303225076
35,Random Forest,900,9.217812741597493,11.388412291509793,15.23086027922865,13.878361073838322
36,Random Forest,900,10.15709381951226,12.589371348984024,14.538668055568735,13.242430597332433
37,Random Forest,900,5.608453311920166,7.006098084666804,22.465540584686153,19.128382615409148
38,Random Forest,900,10.192985212537977,12.568887305461386,14.088253006836965,12.91695727376245
39,Random Forest,900,7.285874881744385,9.02014396646351,18.921953283288808,16.755265103083136
40,Random Forest,900,5.6321433130900065,6.976207003627919,21.474025126610336,18.9619281538664
41,Random Forest,900,4.855383133358425,6.008064614716499,27.77161674113043,22.51621836896868
42,Random Forest,900,6.6561477555168995,8.27213313314025,20.935799675602347,18.22618991732892
43,Random Forest,900,7.9398409165276425,9.83706689200582,16.955271398515908,15.322366929440184
44,Random Forest,900,5.597629708184137,6.934562511908687,21.68535455288343,18.990120993615456
45,Random Forest,900,10.454372164408365,12.959863747212934,14.69353702204351,13.275036762987687
46,Random Forest,900,8.451464513142904,10.383711119378876,15.558471423722366,14.333358656240666
47,Random Forest,900,4.516008172565036,5.623630256900854,23.874541985227022,20.387990892885064
48,Random Forest,900,7.668065694173177,9.602106496637695,16.204732183251263,14.809506882654027
49,Random Forest,900,5.748015077379015,7.051040834944363,23.150563874379262,19.77453202200805
50,Random Forest,900,9.642399660746257,11.99117245387326,16.40901274905763,14.725731799252431
