rank,max_training_rows,source,MAE,RMSE,MAPE,SMAPE,elapsed_seconds
1,300000,trained_development_holdout,7.414061608187358,9.412426613788837,14.7550945297373,13.24266616183561,103.20347369999945
2,220000,trained_development_holdout,7.432386393165588,9.437819654524537,14.811124282262838,13.2809934409198,81.44348539999919
3,180000,reused_tuning,8.279759978612264,10.442616258679458,16.481696792107694,14.522201518750252,0.0
