rank,model_type,model,MAE,RMSE,MAPE,SMAPE
1,Supervisionado,Random Forest,7.8008934041765,9.991081243838991,18.32436855919742,16.18238746353872
2,Supervisionado,Gradient Boosting,7.976019569655556,10.139312700176983,19.144558947915154,16.74410086129674
3,Supervisionado,HistGradient Boosting,8.475545417977777,10.85771519085302,20.384632606588678,17.459824439647004
4,Baseline,Média histórica loja-produto,10.157810248735217,13.513835290518063,20.48604456895103,19.75890721857194
5,Baseline,Média dos últimos 7 dias,11.494403191036648,15.088794880203402,26.06803855814556,21.86643031202123
6,Baseline,Média dos últimos 28 dias,11.753547656673856,15.412619083299116,26.938170531346618,22.25303478799717
7,Baseline,Média global histórica,22.96790098063151,28.55739622396389,59.84500261853246,44.1676907125699
