fold,horizon_bucket,strategy,observations,MAE,RMSE,MAPE,SMAPE
1,01-07,Random Forest recursivo,3500,6.458519204142857,8.382422388937764,11.828688471571299,11.817954298220323
1,01-07,Média histórica loja-produto,3500,13.057534153507161,17.1981558155806,20.012367546944347,22.594271489329056
1,01-07,Sazonal ingênuo — mesmo dia do ano anterior,3500,11.852,15.652968682375512,21.857406361630005,21.160624986281825
1,08-28,Random Forest recursivo,10500,6.541116742714286,8.458309770930747,12.134317260269208,11.944141176621724
1,08-28,Média histórica loja-produto,10500,13.466308789325499,17.536456424811142,20.499276749936794,23.212705003481453
1,08-28,Sazonal ingênuo — mesmo dia do ano anterior,10500,12.076857142857143,16.050269245627714,21.84325917523577,21.246917474877353
1,29-60,Random Forest recursivo,16000,6.7532009886875,8.751898285705428,11.522584508626197,11.287892002411478
1,29-60,Média histórica loja-produto,16000,18.19929828084833,23.07444826534424,25.137265518846526,29.569808316231416
1,29-60,Sazonal ingênuo — mesmo dia do ano anterior,16000,12.5476875,16.599708205266744,20.91848188403176,20.576050085508474
1,61-90,Random Forest recursivo,15000,6.9011293212,8.992792434672644,11.229283770671,11.016397615074291
1,61-90,Média histórica loja-produto,15000,20.795287317909168,26.089967153660748,27.431227348706088,32.84873693840599
1,61-90,Sazonal ingênuo — mesmo dia do ano anterior,15000,13.648533333333333,18.290955870775772,21.741301511170967,20.887825195741286
2,01-07,Random Forest recursivo,3500,6.9672049448571425,8.905913434511165,10.80750977476235,10.573083730953394
2,01-07,Média histórica loja-produto,3500,23.99362680090262,29.294594863689955,30.122311288089946,36.541027010364154
2,01-07,Sazonal ingênuo — mesmo dia do ano anterior,3500,13.710857142857144,18.427091856441002,20.70445823293488,20.07291723115014
2,08-28,Random Forest recursivo,10500,7.127694114952382,9.20881797380061,11.13601016519865,10.805875072225357
2,08-28,Média histórica loja-produto,10500,23.878798703928716,29.481662202205168,29.849396338667677,36.22294213084658
2,08-28,Sazonal ingênuo — mesmo dia do ano anterior,10500,13.733238095238095,18.295539399120266,20.60608360676465,20.126057529521166
2,29-60,Random Forest recursivo,16000,8.23988378853125,10.397296232514309,15.718819881620174,13.970294976240618
2,29-60,Média histórica loja-produto,16000,15.97802483292831,20.50970756614711,22.63383251061547,26.164679329595934
2,29-60,Sazonal ingênuo — mesmo dia do ano anterior,16000,12.2438125,16.25499730852023,20.779901725789106,20.411122799429734
2,61-90,Random Forest recursivo,15000,8.942890895233335,11.089388805412932,18.914860797099056,16.30984877552007
2,61-90,Média histórica loja-produto,15000,12.41776322397732,16.436767597492373,19.441483946644762,21.51817237353069
2,61-90,Sazonal ingênuo — mesmo dia do ano anterior,15000,12.056933333333333,16.023611744339455,22.53348224590991,21.56029395016822
3,01-07,Random Forest recursivo,3500,6.497420928857142,8.342852018160771,13.910278707663107,12.852020562205585
3,01-07,Média histórica loja-produto,3500,9.331826695194206,12.44513006053086,16.627765021195405,17.312922107545266
3,01-07,Sazonal ingênuo — mesmo dia do ano anterior,3500,11.113428571428571,14.834660186776874,21.872008878170092,21.154043191590553
3,08-28,Random Forest recursivo,10500,6.301542219380952,8.074233017337964,13.394835973259795,12.446629958809336
3,08-28,Média histórica loja-produto,10500,9.431016074171605,12.61509960226711,16.724040696482483,17.456112962728835
3,08-28,Sazonal ingênuo — mesmo dia do ano anterior,10500,11.396,15.092672457347039,22.387642649086033,21.81708072103878
3,29-60,Random Forest recursivo,16000,6.77854568859375,8.88641998659829,12.60112029687683,12.396276468011573
3,29-60,Média histórica loja-produto,16000,11.497265480990784,15.355380780622152,18.249077466985558,19.97356509253573
3,29-60,Sazonal ingênuo — mesmo dia do ano anterior,16000,11.7015,15.560137370858909,21.505613925253247,21.19095938295774
3,61-90,Random Forest recursivo,15000,9.9339539388,12.080069530363978,28.184806704635463,23.005386117620745
3,61-90,Média histórica loja-produto,15000,9.430543394777265,12.199461177809585,26.405810870291546,21.712624629969397
3,61-90,Sazonal ingênuo — mesmo dia do ano anterior,15000,9.318666666666667,12.226572155214505,23.986507594863774,23.333576970060232
