rank,candidate,n_estimators,max_depth,min_samples_leaf,max_features,MAE,RMSE,MAPE,SMAPE,elapsed_seconds
1,responsive,70,16,5,0.7,8.279759978612264,10.442616258679458,16.481696792107694,14.522201518750252,52.21783610000057
2,current,60,14,10,0.8,8.457231351788838,10.656711771120168,16.832503077094344,14.789156845079827,34.02779870000086
3,regularized,70,12,15,0.8,8.753190660317738,10.973300433488204,17.460891095798143,15.261206599443833,41.34435370000028
