item,model,observations,MAE,RMSE,MAPE,SMAPE
1,Média histórica loja-produto,900,5.149846373664008,6.476009641824935,25.52610551511721,23.43152423461781
2,Média histórica loja-produto,900,10.688274451361762,13.43786801148693,18.475541548554688,18.026600328546223
3,Média histórica loja-produto,900,7.864278068542481,9.939223543285587,21.488906421880237,20.93855826843551
4,Média histórica loja-produto,900,5.0889157358805335,6.4289069634205385,24.808577157476755,23.08632708732296
5,Média histórica loja-produto,900,4.383063220977784,5.671678433850775,25.47504581887171,23.60725714157356
6,Média histórica loja-produto,900,10.727786712646484,13.647282607543746,18.398319371973027,18.008939848563337
7,Média histórica loja-produto,900,11.120120290120443,13.983829558298911,18.99623764574662,18.621389816945275
8,Média histórica loja-produto,900,14.78252560933431,18.38690539051244,18.936884833098244,18.670335868068655
9,Média histórica loja-produto,900,10.239750459459092,12.862614522958532,20.460481267508136,19.730801953481585
10,Média histórica loja-produto,900,13.555624567667643,17.06430217046534,18.2523190405471,18.001458202411957
11,Média histórica loja-produto,900,13.229568676418728,16.594039097773457,18.567142498583973,18.438558163638454
12,Média histórica loja-produto,900,12.962004453870986,16.079085956086896,18.304728607690468,18.092072425627585
13,Média histórica loja-produto,900,15.375754030015733,19.163467195520226,18.1289516597787,17.8687703922393
14,Média histórica loja-produto,900,11.07785975986057,13.853896149871433,18.638828711376156,18.382152972362363
15,Média histórica loja-produto,900,15.985983386569552,20.099153143333805,17.7471760788355,17.615669070201143
16,Média histórica loja-produto,900,5.9299168099297415,7.488441134485357,24.80791093932386,23.025907116553824
17,Média histórica loja-produto,900,6.868218120998806,8.726813503140127,21.62178807991766,20.61412000369772
18,Média histórica loja-produto,900,15.264231965806749,19.3665867234982,17.741119569320617,17.526921817308633
19,Média histórica loja-produto,900,8.079153853522406,10.162772633903032,20.203841452521708,19.71263737091971
20,Média histórica loja-produto,900,9.335384148491753,11.706756848592159,19.76346909025413,19.308328944190805
21,Média histórica loja-produto,900,8.211225001017253,10.298961751332364,21.25565607828363,20.21526814152888
22,Média histórica loja-produto,900,14.698266652425131,18.430846004977848,18.402800463593312,18.011255474955775
23,Média histórica loja-produto,900,6.560592719184028,8.332602216301513,23.292402934320837,22.095993678562962
24,Média histórica loja-produto,900,12.543005718655056,15.596708228787898,18.897669619911643,18.570246572946907
25,Média histórica loja-produto,900,15.036722886827256,18.880203512922428,18.65889640607653,18.267881884713915
26,Média histórica loja-produto,900,9.60115843878852,11.915388569757619,20.46510398988129,19.83957863300342
27,Média histórica loja-produto,900,4.9370813899570045,6.260006509502577,24.732934519467815,22.658010629305295
28,Média histórica loja-produto,900,16.1561085679796,20.206926298473117,18.205364406208886,17.948640336453188
29,Média histórica loja-produto,900,12.982674272325303,16.38118342971941,18.66584087309654,18.26101434388719
30,Média histórica loja-produto,900,8.205436486138238,10.351782590580271,20.969269275517068,20.057564152344472
31,Média histórica loja-produto,900,10.878357654147678,13.632081947520366,18.719180031584706,18.342331546541928
32,Média histórica loja-produto,900,9.107310621473525,11.59805741493809,20.713140974077678,20.151236163526416
33,Média histórica loja-produto,900,13.159462466769748,16.503982866134912,19.20880307642445,18.623861277380144
34,Média histórica loja-produto,900,5.69921400282118,7.300020693005711,22.691477069185968,21.721357329061693
35,Média histórica loja-produto,900,12.340752766927084,15.38171929864586,18.512324568969095,18.261780170850457
36,Média histórica loja-produto,900,14.24637092590332,18.10739249419418,18.145436331982506,17.984733487177675
37,Média histórica loja-produto,900,6.263198975457086,8.083443691643259,22.565264144634554,21.17717835220744
38,Média histórica loja-produto,900,15.169233254326715,18.91939464870798,18.414992274144907,18.276308407764223
39,Média histórica loja-produto,900,9.122259385850695,11.346317233554062,21.152779695033658,20.40234870686559
40,Média histórica loja-produto,900,6.4269790861341685,8.161521748364288,22.47092781786089,21.62196226915796
41,Média histórica loja-produto,900,5.308588076697456,6.598334278165418,27.026721825470595,24.383973295589758
42,Média histórica loja-produto,900,7.702630598280165,9.651309661527524,21.619317163180224,20.76828992708204
43,Média histórica loja-produto,900,10.023943879869249,12.716612693452717,19.44912646562387,19.069160745749627
44,Média histórica loja-produto,900,6.355385212368435,8.033880763215077,22.099493896382285,21.170348218169497
45,Média histórica loja-produto,900,14.6839476691352,18.43063719606629,18.162329943531372,17.89811862093973
46,Média histórica loja-produto,900,11.413540581597223,14.402197740004697,19.012130927513788,18.84877182529418
47,Média histórica loja-produto,900,4.996428580813938,6.371791774928257,23.82305290397444,22.365190502065847
48,Média histórica loja-produto,900,10.189781205919054,12.769242354600422,19.573256933192383,19.289510588275512
49,Média histórica loja-produto,900,6.220125427246094,7.8892556817827435,22.44668109057936,21.04431308035762
50,Média histórica loja-produto,900,11.94246923658583,15.173046099879445,18.606477439470716,17.91080154013128
